% Moku:Go Data Logger
% Input 1, DC coupling, 10 Vpp range
% Input 2, DC coupling, 10 Vpp range
% Acquisition rate: 1.0000000000e+03 Hz, Precision mode
% Output 1 - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 1970-01-28 T 07:31:45 +1000
% Time (s), Input 1 (V), Input 2 (V)
0.0000000000e+00, -5.0389606087e-02, 5.1235018916e-01
1.0000000000e-03, -3.7623372122e-02, 5.1324062398e-01
2.0000000000e-03, -1.8859209267e-02, 5.1233017939e-01
3.0000000000e-03, -2.2741104862e-02, 5.1359579742e-01
4.0000000000e-03, -3.4181691492e-02, 5.1269035527e-01
5.0000000000e-03, -3.4631911341e-02, 5.1249526001e-01
6.0000000000e-03, -2.6062726865e-02, 5.1205004260e-01
7.0000000000e-03, -1.5407523751e-02, 5.1257029665e-01
8.0000000000e-03, -1.2396053200e-02, 5.1250026245e-01
9.0000000000e-03, -2.2821143946e-02, 5.1192998397e-01
1.0000000000e-02, -4.0894969698e-02, 5.1214008657e-01
1.1000000000e-02, -4.3481232613e-02, 5.1226514764e-01
1.2000000000e-02, -3.2976102782e-02, 5.1266534306e-01
1.3000000000e-02, -2.3631539676e-02, 5.1253027710e-01
1.4000000000e-02, -3.5862512264e-02, 5.1257029665e-01
1.5000000000e-02, -4.5297119341e-02, 5.1189496687e-01
1.6000000000e-02, -5.5812254057e-02, 5.1294547986e-01
1.7000000000e-02, -4.8458663176e-02, 5.1239521115e-01
1.8000000000e-02, -3.2400821863e-02, 5.1247525023e-01
1.9000000000e-02, -2.1445472183e-02, 5.1241021848e-01
2.0000000000e-02, -2.8108725961e-02, 5.1313557268e-01
2.1000000000e-02, -4.1330182219e-02, 5.1264533329e-01
2.2000000000e-02, -3.2781007514e-02, 5.0851331556e-01
2.3000000000e-02, -2.4617020903e-02, 5.0899855250e-01
2.4000000000e-02, -1.1740733196e-02, 5.0902856716e-01
2.5000000000e-02, -1.4677167106e-02, 5.0910860625e-01
2.6000000000e-02, -2.6397890531e-02, 5.0916863556e-01
2.7000000000e-02, -4.5577256136e-02, 5.0974391648e-01
2.8000000000e-02, -4.0779913514e-02, 5.0906858670e-01
2.9000000000e-02, -2.8548940925e-02, 5.0857334487e-01
3.0000000000e-02, -2.9589449023e-02, 5.1219511344e-01
3.1000000000e-02, -3.8673885105e-02, 5.1223513298e-01
3.2000000000e-02, -4.9719278755e-02, 5.1224513787e-01
3.3000000000e-02, -5.3651198778e-02, 5.1249025756e-01
3.4000000000e-02, -4.2085551078e-02, 5.1345072658e-01
3.5000000000e-02, -2.4191813267e-02, 5.1269535772e-01
3.6000000000e-02, -2.1305403785e-02, 5.1301051161e-01
3.7000000000e-02, -3.1140206283e-02, 5.1245023802e-01
3.8000000000e-02, -3.9279180681e-02, 5.0865338395e-01
3.9000000000e-02, -2.7368364430e-02, 5.0870340838e-01
4.0000000000e-02, -2.0650083781e-02, 5.0857334487e-01
4.1000000000e-02, -9.8047878419e-03, 5.0874342792e-01
4.2000000000e-02, -1.8534050487e-02, 5.0875843525e-01
4.3000000000e-02, -3.3381300647e-02, 5.0821316899e-01
4.4000000000e-02, -4.4991970331e-02, 5.0781797601e-01
4.5000000000e-02, -3.7653386778e-02, 5.0756785387e-01
4.6000000000e-02, -2.5367387319e-02, 5.1232017451e-01
4.7000000000e-02, -3.4041623094e-02, 5.1237520138e-01
4.8000000000e-02, -4.2170592606e-02, 5.1242522581e-01
4.9000000000e-02, -5.3686215877e-02, 5.1211007191e-01
5.0000000000e-02, -5.0409615858e-02, 5.1247525023e-01
5.1000000000e-02, -3.7038086317e-02, 5.1255528932e-01
5.2000000000e-02, -2.0194861489e-02, 5.1252027222e-01
5.3000000000e-02, -2.4556991590e-02, 5.1254528443e-01
5.4000000000e-02, -3.6667905551e-02, 5.0844328136e-01
5.5000000000e-02, -3.5257216688e-02, 5.0842827403e-01
5.6000000000e-02, -2.4707064873e-02, 5.0819816166e-01
5.7000000000e-02, -1.5247445583e-02, 5.0779796624e-01
5.8000000000e-02, -1.4337000997e-02, 5.0796804929e-01
5.9000000000e-02, -2.4742081972e-02, 5.0763288563e-01
6.0000000000e-02, -4.3586283911e-02, 5.0814313479e-01
6.1000000000e-02, -4.6237578583e-02, 5.0765789784e-01
6.2000000000e-02, -3.6442795626e-02, 5.1284042856e-01
6.3000000000e-02, -2.7908628250e-02, 5.1331065818e-01
6.4000000000e-02, -3.8643870448e-02, 5.1269535772e-01
6.5000000000e-02, -4.5887407588e-02, 5.1275538703e-01
6.6000000000e-02, -5.5712205201e-02, 5.1224013542e-01
6.7000000000e-02, -4.5892410031e-02, 5.1273537726e-01
6.8000000000e-02, -3.0159727499e-02, 5.1240021359e-01
6.9000000000e-02, -1.9054304536e-02, 5.1268035039e-01
7.0000000000e-02, -2.7593474355e-02, 5.0809311036e-01
7.1000000000e-02, -4.0319688778e-02, 5.0750782456e-01
7.2000000000e-02, -3.0209751927e-02, 5.0757285631e-01
7.3000000000e-02, -2.4762091743e-02, 5.0806809815e-01
7.4000000000e-02, -1.2491099613e-02, 5.0803308105e-01
7.5000000000e-02, -1.6743175973e-02, 5.0811312013e-01
7.6000000000e-02, -2.9304309784e-02, 5.0881846456e-01
7.7000000000e-02, -4.6287603011e-02, 5.0812812746e-01
7.8000000000e-02, -4.2590797799e-02, 5.1258030153e-01
7.9000000000e-02, -3.1820538501e-02, 5.1318559711e-01
8.0000000000e-02, -3.1730494531e-02, 5.1261531863e-01
8.1000000000e-02, -4.0684867101e-02, 5.1247525023e-01
8.2000000000e-02, -5.1305053115e-02, 5.1285043344e-01
8.3000000000e-02, -5.3796269618e-02, 5.1294547986e-01
8.4000000000e-02, -4.1825424054e-02, 5.1281041390e-01
8.5000000000e-02, -2.4246840137e-02, 5.1359079497e-01
8.6000000000e-02, -2.0520020269e-02, 5.1296048718e-01
8.7000000000e-02, -2.9664485664e-02, 5.1262532352e-01
8.8000000000e-02, -3.8463782508e-02, 5.1275038459e-01
8.9000000000e-02, -2.7438398629e-02, 5.1248525512e-01
9.0000000000e-02, -2.0344934772e-02, 5.0884347678e-01
9.1000000000e-02, -1.0605178686e-02, 5.0879845479e-01
9.2000000000e-02, -2.0119824847e-02, 5.0856333998e-01
9.3000000000e-02, -3.5137158062e-02, 5.0845828868e-01
9.4000000000e-02, -4.6227573697e-02, 5.1248525512e-01
9.5000000000e-02, -3.9984525112e-02, 5.1298049695e-01
9.6000000000e-02, -2.6537958929e-02, 5.1351575833e-01
9.7000000000e-02, -3.4781984625e-02, 5.1239020871e-01
9.8000000000e-02, -4.0824935499e-02, 5.1279040413e-01
9.9000000000e-02, -5.2560666252e-02, 5.1268035039e-01
1.0000000000e-01, -5.0789801509e-02, 5.1234018428e-01
1.0100000000e-01, -3.7608364793e-02, 5.1259030642e-01
1.0200000000e-01, -1.8393982089e-02, 5.1237019894e-01
1.0300000000e-01, -2.1780635849e-02, 5.1260031130e-01
1.0400000000e-01, -3.4596894242e-02, 5.1276539192e-01
1.0500000000e-01, -3.4756972411e-02, 5.1273537726e-01
1.0600000000e-01, -2.5892643811e-02, 5.1220511832e-01
1.0700000000e-01, -1.3801739620e-02, 5.1269535772e-01
1.0800000000e-01, -1.1890806480e-02, 5.1271536749e-01
1.0900000000e-01, -2.4852135713e-02, 5.1247024779e-01
1.1000000000e-01, -4.2325668332e-02, 5.1293547497e-01
1.1100000000e-01, -4.3921447577e-02, 5.1299550428e-01
1.1200000000e-01, -3.4811999281e-02, 5.1246524535e-01
1.1300000000e-01, -2.7168266719e-02, 5.1258030153e-01
1.1400000000e-01, -3.6878008148e-02, 5.1333567039e-01
1.1500000000e-01, -4.4346655213e-02, 5.1267034550e-01
1.1600000000e-01, -5.4246489468e-02, 5.1284042856e-01
1.1700000000e-01, -4.7803343172e-02, 5.1259530886e-01
1.1800000000e-01, -3.0765023075e-02, 5.1265533817e-01
1.1900000000e-01, -1.9344446217e-02, 5.1247024779e-01
1.2000000000e-01, -2.7223293589e-02, 5.1306553848e-01
1.2100000000e-01, -4.0309683893e-02, 5.1300050673e-01
1.2200000000e-01, -3.2100675297e-02, 5.1253527955e-01
1.2300000000e-01, -2.5057235867e-02, 5.1250026245e-01
1.2400000000e-01, -1.2190953046e-02, 5.1280040901e-01
1.2500000000e-01, -1.8028803766e-02, 5.1323562154e-01
1.2600000000e-01, -3.0494891165e-02, 5.1261531863e-01
1.2700000000e-01, -4.6497705607e-02, 5.1273037482e-01
1.2800000000e-01, -4.3536259484e-02, 5.1324562642e-01
1.2900000000e-01, -3.0810045060e-02, 5.1321060932e-01
1.3000000000e-01, -3.2155702167e-02, 5.1231016962e-01
1.3100000000e-01, -3.9244163581e-02, 5.1283042367e-01
1.3200000000e-01, -4.9549195701e-02, 5.1361080474e-01
1.3300000000e-01, -5.4526626263e-02, 5.1280541146e-01
1.3400000000e-01, -4.2525766043e-02, 5.1283542611e-01
1.3500000000e-01, -2.3946693571e-02, 5.1272036993e-01
1.3600000000e-01, -1.9229390033e-02, 5.1299550428e-01
1.3700000000e-01, -2.9229273143e-02, 5.1290546031e-01
1.3800000000e-01, -3.8068589529e-02, 5.1276539192e-01
1.3900000000e-01, -2.7728540310e-02, 5.1318559711e-01
1.4000000000e-01, -1.9394470644e-02, 5.1298549940e-01
1.4100000000e-01, -1.1625677012e-02, 5.1251026733e-01
1.4200000000e-01, -2.1045276761e-02, 5.1315558245e-01
1.4300000000e-01, -3.5172175161e-02, 5.1358079009e-01
1.4400000000e-01, -4.5347143769e-02, 5.1320060444e-01
1.4500000000e-01, -3.7958535788e-02, 5.1293047253e-01
1.4600000000e-01, -2.6968169008e-02, 5.0741778059e-01
1.4700000000e-01, -3.5672419439e-02, 5.0682749234e-01
1.4800000000e-01, -4.1335184662e-02, 5.0732773662e-01
1.4900000000e-01, -5.3140949614e-02, 5.0725770242e-01
1.5000000000e-01, -5.1570182583e-02, 5.0747280746e-01
1.5100000000e-01, -3.7438281739e-02, 5.0841826914e-01
1.5200000000e-01, -1.9274412018e-02, 5.0880845968e-01
1.5300000000e-01, -2.3536493263e-02, 5.0867339372e-01
1.5400000000e-01, -3.4301750118e-02, 5.1266534306e-01
1.5500000000e-01, -3.4877031037e-02, 5.1292547008e-01
1.5600000000e-01, -2.7113239848e-02, 5.1263532840e-01
1.5700000000e-01, -1.6202912153e-02, 5.1240521604e-01
1.5800000000e-01, -1.4912281917e-02, 5.1326063375e-01
1.5900000000e-01, -2.5997695109e-02, 5.1305553360e-01
1.6000000000e-01, -4.1955487566e-02, 5.1329565085e-01
1.6100000000e-01, -4.3846410936e-02, 5.1285043344e-01
1.6200000000e-01, -3.3286254235e-02, 5.1365582673e-01
1.6300000000e-01, -2.5772585184e-02, 5.1275038459e-01
1.6400000000e-01, -3.7343235326e-02, 5.1288044810e-01
1.6500000000e-01, -4.4806879949e-02, 5.1305553360e-01
1.6600000000e-01, -5.4521623821e-02, 5.0820316410e-01
1.6700000000e-01, -4.6462688508e-02, 5.0868339861e-01
1.6800000000e-01, -3.2365804764e-02, 5.0869340350e-01
1.6900000000e-01, -2.0560039811e-02, 5.0831822029e-01
1.7000000000e-01, -2.5587494802e-02, 5.0823818120e-01
1.7100000000e-01, -3.8908999915e-02, 5.0844328136e-01
1.7200000000e-01, -3.0925101244e-02, 5.0765789784e-01
1.7300000000e-01, -2.3921681357e-02, 5.0723769265e-01
1.7400000000e-01, -1.0590171358e-02, 5.1281541634e-01
1.7500000000e-01, -1.7478535061e-02, 5.1368083894e-01
1.7600000000e-01, -2.9574441694e-02, 5.1311556291e-01
1.7700000000e-01, -4.7338115994e-02, 5.1346573390e-01
1.7800000000e-01, -4.2010514437e-02, 5.1295548474e-01
1.7900000000e-01, -2.8218779702e-02, 5.1284042856e-01
1.8000000000e-01, -2.9539424595e-02, 5.1286544077e-01
1.8100000000e-01, -3.8828960831e-02, 5.1321561177e-01
1.8200000000e-01, -5.0729772196e-02, 5.1265033573e-01
1.8300000000e-01, -5.3426088853e-02, 5.1335067772e-01
1.8400000000e-01, -4.1125082065e-02, 5.1306053604e-01
1.8500000000e-01, -2.3761603188e-02, 5.1309055070e-01
1.8600000000e-01, -2.1430464854e-02, 5.0764789295e-01
1.8700000000e-01, -2.9659483222e-02, 5.0726770730e-01
1.8800000000e-01, -3.7893504032e-02, 5.0720767799e-01
1.8900000000e-01, -2.7658506111e-02, 5.0793303219e-01
1.9000000000e-01, -2.0089810190e-02, 5.1263532840e-01
1.9100000000e-01, -1.0430093189e-02, 5.1314557757e-01
1.9200000000e-01, -1.9384465759e-02, 5.1267534795e-01
1.9300000000e-01, -3.5932546463e-02, 5.1302551894e-01
1.9400000000e-01, -4.6432673851e-02, 5.1276539192e-01
1.9500000000e-01, -3.8568833806e-02, 5.1306053604e-01
1.9600000000e-01, -2.7308335117e-02, 5.1372085849e-01
1.9700000000e-01, -3.4756972411e-02, 5.1316058489e-01
1.9800000000e-01, -4.1190113821e-02, 5.1328564596e-01
1.9900000000e-01, -5.3721232976e-02, 5.1288545054e-01
2.0000000000e-01, -4.9314080890e-02, 5.1323562154e-01
2.0100000000e-01, -3.6532839596e-02, 5.1312056535e-01
2.0200000000e-01, -1.9629585455e-02, 5.0776294914e-01
2.0300000000e-01, -2.3511481049e-02, 5.0789801509e-01
2.0400000000e-01, -3.5722443867e-02, 5.0807310059e-01
2.0500000000e-01, -3.4151676835e-02, 5.0861836685e-01
2.0600000000e-01, -2.5837616940e-02, 5.0880345724e-01
2.0700000000e-01, -1.4467064510e-02, 5.0942376014e-01
2.0800000000e-01, -1.3496590611e-02, 5.0892351586e-01
2.0900000000e-01, -2.4431930520e-02, 5.0992400442e-01
