% Moku:Go Data Logger
% Input 1, DC coupling, 10 Vpp range
% Input 2, DC coupling, 10 Vpp range
% Acquisition rate: 1.0000000000e+03 Hz, Precision mode
% Output 1 - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 1970-01-28 T 07:31:37 +1000
% Time (s), Input 1 (V), Input 2 (V)
0.0000000000e+00, -4.6787847288e-02, 4.8609236703e-01
1.0000000000e-03, -3.3461339732e-02, 4.8617240612e-01
2.0000000000e-03, -2.4456942734e-02, 4.8554710077e-01
3.0000000000e-03, -1.0049907538e-02, 4.8597230840e-01
4.0000000000e-03, -1.5887758258e-02, 4.8662262597e-01
5.0000000000e-03, -2.6973171451e-02, 4.8604734505e-01
6.0000000000e-03, -4.0004534883e-02, 4.8590227421e-01
7.0000000000e-03, -3.4126664621e-02, 4.8647755513e-01
8.0000000000e-03, -2.3331393109e-02, 4.8675268948e-01
9.0000000000e-03, -2.8759043522e-02, 4.8617740856e-01
1.0000000000e-02, -3.8098604186e-02, 4.8561213252e-01
1.1000000000e-02, -5.3391071753e-02, 4.8575720337e-01
1.2000000000e-02, -5.6772723070e-02, 4.8605234749e-01
1.3000000000e-02, -4.5622278121e-02, 4.8643753558e-01
1.4000000000e-02, -2.8859092377e-02, 4.8615239634e-01
1.5000000000e-02, -2.9729517420e-02, 4.8619741833e-01
1.6000000000e-02, -4.0379718092e-02, 4.8670766749e-01
1.7000000000e-02, -4.4221594144e-02, 4.8643753558e-01
1.8000000000e-02, -3.0820049946e-02, 4.8653758444e-01
1.9000000000e-02, -1.9684612325e-02, 4.8604734505e-01
2.0000000000e-02, -1.0475115174e-02, 4.8589226932e-01
2.1000000000e-02, -2.0464993398e-02, 4.8591728153e-01
2.2000000000e-02, -3.3671442328e-02, 4.8618741344e-01
2.3000000000e-02, -3.9944505570e-02, 4.8652757955e-01
2.4000000000e-02, -3.0905091473e-02, 4.8637250383e-01
2.5000000000e-02, -1.9659600111e-02, 4.8630246963e-01
2.6000000000e-02, -3.3511364159e-02, 4.8599231818e-01
2.7000000000e-02, -4.2245629247e-02, 4.8561213252e-01
2.8000000000e-02, -5.7172918492e-02, 4.8611737925e-01
2.9000000000e-02, -5.3336044883e-02, 4.8577721314e-01
3.0000000000e-02, -4.0965003896e-02, 4.8613738902e-01
3.1000000000e-02, -2.7218291147e-02, 4.8640752093e-01
3.2000000000e-02, -3.1685472546e-02, 4.8599732062e-01
3.3000000000e-02, -4.5021984988e-02, 4.8640752093e-01
3.4000000000e-02, -4.0384720534e-02, 4.8597731085e-01
3.5000000000e-02, -2.9499405053e-02, 4.8570717894e-01
3.6000000000e-02, -1.5297470010e-02, 4.8567716428e-01
3.7000000000e-02, -1.4452057181e-02, 4.8609736947e-01
3.8000000000e-02, -2.4506967162e-02, 4.8593729131e-01
3.9000000000e-02, -3.9164124497e-02, 4.8576720825e-01
4.0000000000e-02, -3.7438281739e-02, 4.8600232306e-01
4.1000000000e-02, -2.7958652678e-02, 4.8651757467e-01
4.2000000000e-02, -2.4266849909e-02, 4.8661762352e-01
4.3000000000e-02, -3.5707436538e-02, 4.8610237192e-01
4.4000000000e-02, -4.6642776448e-02, 4.8608736459e-01
4.5000000000e-02, -5.8283460789e-02, 4.8559212275e-01
4.6000000000e-02, -4.9013934324e-02, 4.8572218627e-01
4.7000000000e-02, -3.5272224017e-02, 4.8584224489e-01
4.8000000000e-02, -2.7668510997e-02, 4.8589727176e-01
4.9000000000e-02, -3.4346772103e-02, 4.8614739390e-01
5.0000000000e-02, -4.6262590797e-02, 4.8662262597e-01
5.1000000000e-02, -3.2255751023e-02, 4.8565215207e-01
5.2000000000e-02, -2.3376415094e-02, 4.8613738902e-01
5.3000000000e-02, -1.0680215328e-02, 4.8602733528e-01
5.4000000000e-02, -1.5872750930e-02, 4.8611237680e-01
5.5000000000e-02, -2.8213777259e-02, 4.8601232795e-01
5.6000000000e-02, -4.1445238403e-02, 4.8587225955e-01
5.7000000000e-02, -3.6012585548e-02, 4.8587225955e-01
5.8000000000e-02, -2.4161798610e-02, 4.8561713497e-01
5.9000000000e-02, -2.8709019094e-02, 4.8602733528e-01
6.0000000000e-02, -3.7813464947e-02, 4.8581223024e-01
6.1000000000e-02, -5.3451101066e-02, 4.8585725222e-01
6.2000000000e-02, -5.5922307798e-02, 4.8592228398e-01
6.3000000000e-02, -4.5267104684e-02, 4.8560713008e-01
