% Moku:Go Data Logger
% Input 1, DC coupling, 10 Vpp range
% Input 2, DC coupling, 10 Vpp range
% Acquisition rate: 1.0000000000e+03 Hz, Precision mode
% Output 1 - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 1970-01-25 T 09:51:49 +1000
% Time (s), Input 1 (V), Input 2 (V)
0.0000000000e+00, -1.7788686513e-02, 1.1845584397e+00
1.0000000000e-03, -1.3886781147e-02, 1.1849836473e+00
2.0000000000e-03, -2.2961212344e-02, 1.1855039014e+00
3.0000000000e-03, -3.1175223383e-02, 1.1855489234e+00
4.0000000000e-03, -2.2961212344e-02, 1.1848936034e+00
5.0000000000e-03, -1.6653132003e-02, 1.1849786449e+00
6.0000000000e-03, -8.5791893616e-03, 1.1849286205e+00
7.0000000000e-03, -1.7458525290e-02, 1.1849086107e+00
8.0000000000e-03, -3.1245257582e-02, 1.1849936522e+00
9.0000000000e-03, -3.6077617304e-02, 1.1849286205e+00
1.0000000000e-02, -2.8423879856e-02, 1.1851437255e+00
1.1000000000e-02, -1.8834197053e-02, 1.1852637841e+00
1.2000000000e-02, -2.5432419076e-02, 1.1849136131e+00
1.3000000000e-02, -2.9354334212e-02, 1.1848185667e+00
1.4000000000e-02, -4.1810416726e-02, 1.1840031685e+00
1.5000000000e-02, -4.0059561754e-02, 1.1842282785e+00
1.6000000000e-02, -2.9009165661e-02, 1.1846935056e+00
1.7000000000e-02, -1.5542589706e-02, 1.1850586840e+00
1.8000000000e-02, -1.8679121327e-02, 1.1849986547e+00
1.9000000000e-02, -2.9499405053e-02, 1.1852037548e+00
2.0000000000e-02, -2.7648501225e-02, 1.1849536327e+00
2.1000000000e-02, -2.1600547909e-02, 1.1850536815e+00
2.2000000000e-02, -9.9148415829e-03, 1.1849136131e+00
2.3000000000e-02, -5.7327994218e-03, 1.1856389673e+00
2.4000000000e-02, -1.6618114903e-02, 1.1858990944e+00
2.5000000000e-02, -3.1950602013e-02, 1.1860041457e+00
2.6000000000e-02, -3.3106166295e-02, 1.1858340626e+00
2.7000000000e-02, -2.4571998918e-02, 1.1858190553e+00
2.8000000000e-02, -1.9724631868e-02, 1.1856489722e+00
2.9000000000e-02, -2.7188276490e-02, 1.1856089527e+00
3.0000000000e-02, -3.3246234692e-02, 1.1852737890e+00
3.1000000000e-02, -4.2500753829e-02, 1.1850786937e+00
3.2000000000e-02, -3.4031618208e-02, 1.1850436766e+00
3.3000000000e-02, -2.2896180588e-02, 1.1849236180e+00
