% Moku:Go Data Logger
% Input 1, DC coupling, 10 Vpp range
% Input 2, DC coupling, 10 Vpp range
% Acquisition rate: 1.0000000000e+03 Hz, Precision mode
% Output 1 - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 1970-01-28 T 06:11:09 +1000
% Time (s), Input 1 (V), Input 2 (V)
0.0000000000e+00, -3.5097138520e-02, 4.9999965819e+00
1.0000000000e-03, -2.5652526558e-02, 4.9999965819e+00
2.0000000000e-03, -3.0940108572e-02, 4.9999965819e+00
3.0000000000e-03, -4.4451706512e-02, 4.9999965819e+00
4.0000000000e-03, -3.1810533615e-02, 4.9999965819e+00
5.0000000000e-03, -2.3106283184e-02, 4.9999965819e+00
6.0000000000e-03, -9.2695264648e-03, 4.9999965819e+00
7.0000000000e-03, -1.3831754277e-02, 4.9999965819e+00
8.0000000000e-03, -2.5702550985e-02, 4.9999965819e+00
9.0000000000e-03, -4.0719884200e-02, 4.9999965819e+00
1.0000000000e-02, -3.6482815169e-02, 4.9999965819e+00
1.1000000000e-02, -2.5567485030e-02, 4.9999965819e+00
1.2000000000e-02, -2.8078711304e-02, 4.9999965819e+00
1.3000000000e-02, -3.8518809379e-02, 4.9999965819e+00
1.4000000000e-02, -5.3205981370e-02, 4.9999965819e+00
1.5000000000e-02, -5.7848248267e-02, 4.9999965819e+00
1.6000000000e-02, -4.7103001183e-02, 4.9999965819e+00
1.7000000000e-02, -3.2400821863e-02, 4.9999965819e+00
1.8000000000e-02, -2.7168266719e-02, 4.9999965819e+00
1.9000000000e-02, -3.6217685702e-02, 4.9999965819e+00
2.0000000000e-02, -4.4366664984e-02, 4.9999965819e+00
2.1000000000e-02, -3.0579932692e-02, 4.9999965819e+00
2.2000000000e-02, -2.1225364701e-02, 4.9999965819e+00
2.3000000000e-02, -9.8698195980e-03, 4.9999965819e+00
2.4000000000e-02, -1.9439492629e-02, 4.9999965819e+00
2.5000000000e-02, -3.2485863390e-02, 4.9999965819e+00
2.6000000000e-02, -4.1205121150e-02, 4.9999965819e+00
2.7000000000e-02, -3.5002092107e-02, 4.9999965819e+00
2.8000000000e-02, -2.3576512805e-02, 4.9999965819e+00
2.9000000000e-02, -3.2961095454e-02, 4.9999965819e+00
3.0000000000e-02, -4.1385209090e-02, 4.9999965819e+00
3.1000000000e-02, -5.6922796353e-02, 4.9999965819e+00
3.2000000000e-02, -5.3821281832e-02, 4.9999965819e+00
3.3000000000e-02, -4.1730377641e-02, 4.9999965819e+00
3.4000000000e-02, -2.5262336021e-02, 4.9999965819e+00
3.5000000000e-02, -2.7488423057e-02, 4.9999965819e+00
3.6000000000e-02, -3.9149117169e-02, 4.9999965819e+00
3.7000000000e-02, -3.7738428306e-02, 4.9999965819e+00
3.8000000000e-02, -2.5852624269e-02, 4.9999965819e+00
3.9000000000e-02, -1.3306497785e-02, 4.9999965819e+00
4.0000000000e-02, -9.1894873804e-03, 4.9999965819e+00
4.1000000000e-02, -2.1135320731e-02, 4.9999965819e+00
4.2000000000e-02, -3.6677910437e-02, 4.9999965819e+00
4.3000000000e-02, -3.9134109840e-02, 4.9999965819e+00
4.4000000000e-02, -3.0299795897e-02, 4.9999965819e+00
4.5000000000e-02, -2.3931686243e-02, 4.9999965819e+00
4.6000000000e-02, -3.7038086317e-02, 4.9999965819e+00
4.7000000000e-02, -4.7017959656e-02, 4.9999965819e+00
4.8000000000e-02, -5.6947808567e-02, 4.9999965819e+00
4.9000000000e-02, -4.8408638748e-02, 4.9999965819e+00
5.0000000000e-02, -3.5652409668e-02, 4.9999965819e+00
5.1000000000e-02, -2.4371901207e-02, 4.9999965819e+00
5.2000000000e-02, -3.0444866738e-02, 4.9999965819e+00
5.3000000000e-02, -4.2455731844e-02, 4.9999965819e+00
5.4000000000e-02, -3.3121173623e-02, 4.9999965819e+00
5.5000000000e-02, -2.5187299379e-02, 4.9999965819e+00
5.6000000000e-02, -9.9998831101e-03, 4.9999965819e+00
5.7000000000e-02, -1.3611646795e-02, 4.9999965819e+00
5.8000000000e-02, -2.6788081068e-02, 4.9999965819e+00
5.9000000000e-02, -4.0849947713e-02, 4.9999965819e+00
6.0000000000e-02, -3.6427788298e-02, 4.9999965819e+00
6.1000000000e-02, -2.7008188550e-02, 4.9999965819e+00
6.2000000000e-02, -2.8488911612e-02, 4.9999965819e+00
6.3000000000e-02, -3.7898506474e-02, 4.9999965819e+00
6.4000000000e-02, -4.9444144403e-02, 4.9999965819e+00
6.5000000000e-02, -5.5897295584e-02, 4.9999965819e+00
6.6000000000e-02, -4.5872400260e-02, 4.9999965819e+00
6.7000000000e-02, -3.0604944906e-02, 4.9999965819e+00
6.8000000000e-02, -2.4667045331e-02, 4.9999965819e+00
6.9000000000e-02, -3.4251725690e-02, 4.9999965819e+00
7.0000000000e-02, -4.2495751386e-02, 4.9999965819e+00
7.1000000000e-02, -3.0594940021e-02, 4.9999965819e+00
7.2000000000e-02, -2.0154841946e-02, 4.9999965819e+00
7.3000000000e-02, -8.5391698194e-03, 4.9999965819e+00
7.4000000000e-02, -1.7123361624e-02, 4.9999965819e+00
7.5000000000e-02, -3.0639962006e-02, 4.9999965819e+00
7.6000000000e-02, -4.0394725420e-02, 4.9999965819e+00
7.7000000000e-02, -3.5732448752e-02, 4.9999965819e+00
7.8000000000e-02, -2.4476952505e-02, 4.9999965819e+00
7.9000000000e-02, -3.3571393473e-02, 4.9999965819e+00
8.0000000000e-02, -4.2005511994e-02, 4.9999965819e+00
8.1000000000e-02, -5.5657178331e-02, 4.9999965819e+00
8.2000000000e-02, -5.3386069310e-02, 4.9999965819e+00
8.3000000000e-02, -4.1380206647e-02, 4.9999965819e+00
8.4000000000e-02, -2.6863117710e-02, 4.9999965819e+00
8.5000000000e-02, -2.8563948254e-02, 4.9999965819e+00
8.6000000000e-02, -3.8703899761e-02, 4.9999965819e+00
8.7000000000e-02, -3.8333718996e-02, 4.9999965819e+00
8.8000000000e-02, -2.7618486569e-02, 4.9999965819e+00
8.9000000000e-02, -1.4567113365e-02, 4.9999965819e+00
9.0000000000e-02, -8.5591795905e-03, 4.9999965819e+00
9.1000000000e-02, -2.0209868817e-02, 4.9999965819e+00
9.2000000000e-02, -3.5532351041e-02, 4.9999965819e+00
9.3000000000e-02, -3.9849459157e-02, 4.9999965819e+00
9.4000000000e-02, -2.9924612689e-02, 4.9999965819e+00
9.5000000000e-02, -2.2661065777e-02, 4.9999965819e+00
