% Moku:Go Data Logger
% Input 1, DC coupling, 10 Vpp range
% Input 2, DC coupling, 10 Vpp range
% Acquisition rate: 1.0000000000e+03 Hz, Precision mode
% Output 1 - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 1970-01-28 T 06:04:55 +1000
% Time (s), Input 1 (V), Input 2 (V)
0.0000000000e+00, -2.7598476798e-02, 4.5486261702e+00
1.0000000000e-03, -1.2045882206e-02, 4.5483460334e+00
2.0000000000e-03, -1.3881778705e-02, 4.5479508404e+00
3.0000000000e-03, -2.5867631597e-02, 4.5493565269e+00
4.0000000000e-03, -4.0534793818e-02, 4.5502469617e+00
5.0000000000e-03, -3.4386791645e-02, 4.5500718762e+00
6.0000000000e-03, -2.2896180588e-02, 4.5482609919e+00
7.0000000000e-03, -2.5207309151e-02, 4.5469853690e+00
8.0000000000e-03, -3.7913513803e-02, 4.5449143577e+00
9.0000000000e-03, -5.0059444864e-02, 4.5460299024e+00
1.0000000000e-02, -5.7007837881e-02, 4.5471454472e+00
1.1000000000e-02, -4.7273084238e-02, 4.5482810017e+00
1.2000000000e-02, -3.2155702167e-02, 4.5482309772e+00
1.3000000000e-02, -2.9094207188e-02, 4.5488712899e+00
1.4000000000e-02, -3.8853973045e-02, 4.5490763901e+00
1.5000000000e-02, -4.7238067138e-02, 4.5493665318e+00
1.6000000000e-02, -3.3296259120e-02, 4.5479858575e+00
1.7000000000e-02, -2.2696082877e-02, 4.5475606499e+00
1.8000000000e-02, -1.0510132273e-02, 4.5473755595e+00
1.9000000000e-02, -1.7838710941e-02, 4.5469303421e+00
2.0000000000e-02, -3.0674979105e-02, 4.5485611385e+00
2.1000000000e-02, -3.9664368775e-02, 4.5475606499e+00
2.2000000000e-02, -3.0609947349e-02, 4.5484861018e+00
2.3000000000e-02, -1.9854695380e-02, 4.5474806108e+00
2.4000000000e-02, -3.1845550715e-02, 4.5469253397e+00
2.5000000000e-02, -4.0689869544e-02, 4.5455696777e+00
2.6000000000e-02, -5.5527114819e-02, 4.5456897363e+00
2.7000000000e-02, -5.5196953595e-02, 4.5471054276e+00
2.8000000000e-02, -4.3681330324e-02, 4.5483010114e+00
