% Moku:Go Data Logger
% Input 1, DC coupling, 10 Vpp range
% Input 2, DC coupling, 10 Vpp range
% Acquisition rate: 1.0000000000e+03 Hz, Precision mode
% Output 1 - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 1970-01-28 T 07:19:56 +1000
% Time (s), Input 1 (V), Input 2 (V)
0.0000000000e+00, -2.3556503034e-02, 1.9086970487e+00
1.0000000000e-03, -3.0414852081e-02, 1.9069461937e+00
2.0000000000e-03, -4.3671325438e-02, 1.9066560520e+00
3.0000000000e-03, -3.9174129382e-02, 1.9062058322e+00
4.0000000000e-03, -2.9964632231e-02, 1.9047301116e+00
5.0000000000e-03, -1.5557597035e-02, 1.9044149577e+00
6.0000000000e-03, -1.5057352757e-02, 1.9036996084e+00
7.0000000000e-03, -2.7323342445e-02, 1.9018236923e+00
8.0000000000e-03, -4.3231110474e-02, 1.9008832331e+00
9.0000000000e-03, -3.8043577315e-02, 1.9021138340e+00
1.0000000000e-02, -2.4211823038e-02, 1.9045800383e+00
1.1000000000e-02, -1.9479512172e-02, 1.9084019046e+00
1.2000000000e-02, -3.4396796531e-02, 1.9111482456e+00
1.3000000000e-02, -4.5006977660e-02, 1.9132142545e+00
1.4000000000e-02, -5.1660226552e-02, 1.9134343620e+00
1.5000000000e-02, -4.3146068947e-02, 1.9110882163e+00
1.6000000000e-02, -3.0194744599e-02, 1.9076965601e+00
1.7000000000e-02, -2.6663019999e-02, 1.9033644447e+00
1.8000000000e-02, -3.5522346156e-02, 1.8993224709e+00
1.9000000000e-02, -4.6702805761e-02, 1.8993174685e+00
2.0000000000e-02, -3.5872517150e-02, 1.9012584163e+00
2.1000000000e-02, -2.6312849004e-02, 1.9037896523e+00
2.2000000000e-02, -1.3551617481e-02, 1.9068261351e+00
2.3000000000e-02, -2.0394959200e-02, 1.9076765504e+00
2.4000000000e-02, -3.3081154081e-02, 1.9081017580e+00
2.5000000000e-02, -4.3316152001e-02, 1.9076565406e+00
2.6000000000e-02, -3.5677421882e-02, 1.9074364331e+00
2.7000000000e-02, -2.1310406228e-02, 1.9080067116e+00
2.8000000000e-02, -2.6397890531e-02, 1.9085719876e+00
2.9000000000e-02, -3.5857509822e-02, 1.9077015626e+00
3.0000000000e-02, -5.0239532804e-02, 1.9078516359e+00
3.1000000000e-02, -5.1159982275e-02, 1.9077115675e+00
3.2000000000e-02, -4.0064564197e-02, 1.9039197158e+00
3.3000000000e-02, -2.6467924730e-02, 1.9015335506e+00
3.4000000000e-02, -3.0354822768e-02, 1.9003129546e+00
3.5000000000e-02, -4.0379718092e-02, 1.9004280108e+00
3.6000000000e-02, -4.3661320553e-02, 1.9043849430e+00
3.7000000000e-02, -3.1560411477e-02, 1.9082618362e+00
3.8000000000e-02, -1.9064309421e-02, 1.9103128377e+00
3.9000000000e-02, -1.4051861759e-02, 1.9115934631e+00
4.0000000000e-02, -2.3596522577e-02, 1.9107430478e+00
4.1000000000e-02, -3.6913025247e-02, 1.9074964624e+00
4.2000000000e-02, -4.0289674122e-02, 1.9041648355e+00
4.3000000000e-02, -3.2450846291e-02, 1.9014585140e+00
4.4000000000e-02, -1.9509526828e-02, 1.8996176150e+00
4.5000000000e-02, -3.0189742156e-02, 1.9011783772e+00
4.6000000000e-02, -3.8423762966e-02, 1.9028892126e+00
4.7000000000e-02, -5.2855810376e-02, 1.9052503656e+00
4.8000000000e-02, -4.6792849731e-02, 1.9076265259e+00
4.9000000000e-02, -3.3951579124e-02, 1.9076265259e+00
5.0000000000e-02, -2.4181808381e-02, 1.9071312841e+00
5.1000000000e-02, -3.2075663083e-02, 1.9078366285e+00
5.2000000000e-02, -4.5257099799e-02, 1.9071362865e+00
5.3000000000e-02, -3.9634354118e-02, 1.9067260862e+00
5.4000000000e-02, -3.0444866738e-02, 1.9076965601e+00
5.5000000000e-02, -1.6493053834e-02, 1.9068911668e+00
5.6000000000e-02, -1.6798202843e-02, 1.9043799406e+00
5.7000000000e-02, -2.8008677105e-02, 1.9025440441e+00
5.8000000000e-02, -4.2600802684e-02, 1.9001728862e+00
5.9000000000e-02, -3.7923518688e-02, 1.8979317918e+00
6.0000000000e-02, -2.7118242291e-02, 1.8999027543e+00
6.1000000000e-02, -2.2230855699e-02, 1.9031643470e+00
6.2000000000e-02, -3.2851041713e-02, 1.9063158859e+00
6.3000000000e-02, -4.5177060714e-02, 1.9089821879e+00
6.4000000000e-02, -5.3160959385e-02, 1.9109731601e+00
6.5000000000e-02, -4.3406195971e-02, 1.9112532969e+00
6.6000000000e-02, -2.7993669777e-02, 1.9101027351e+00
6.7000000000e-02, -2.5057235867e-02, 1.9065710105e+00
6.8000000000e-02, -3.5092136077e-02, 1.9030943128e+00
6.9000000000e-02, -4.5637285450e-02, 1.9007081476e+00
7.0000000000e-02, -3.3286254235e-02, 1.8997176639e+00
7.1000000000e-02, -2.3726586089e-02, 1.9013834773e+00
7.2000000000e-02, -1.3896786033e-02, 1.9037896523e+00
7.3000000000e-02, -1.9744641639e-02, 1.9039297207e+00
7.4000000000e-02, -3.1580421248e-02, 1.9046350652e+00
7.5000000000e-02, -4.1315174891e-02, 1.9068511473e+00
7.6000000000e-02, -3.4441818516e-02, 1.9064459494e+00
7.7000000000e-02, -2.1125315845e-02, 1.9060757687e+00
7.8000000000e-02, -2.4496962276e-02, 1.9077465846e+00
7.9000000000e-02, -3.4091647522e-02, 1.9081667898e+00
8.0000000000e-02, -4.8263567907e-02, 1.9072913623e+00
8.1000000000e-02, -5.0939874793e-02, 1.9070812597e+00
8.2000000000e-02, -3.9324202666e-02, 1.9067160813e+00
8.3000000000e-02, -2.6272829462e-02, 1.9039747427e+00
8.4000000000e-02, -2.9144231616e-02, 1.9019687632e+00
8.5000000000e-02, -4.0954999011e-02, 1.9017386508e+00
8.6000000000e-02, -4.5417177967e-02, 1.9024690074e+00
8.7000000000e-02, -3.0740010861e-02, 1.9046450700e+00
8.8000000000e-02, -1.8894226367e-02, 1.9068011229e+00
8.9000000000e-02, -1.5087367414e-02, 1.9084869461e+00
9.0000000000e-02, -2.4161798610e-02, 1.9091572734e+00
9.1000000000e-02, -3.7103118073e-02, 1.9084469265e+00
9.2000000000e-02, -3.9399239307e-02, 1.9070112255e+00
9.3000000000e-02, -3.2966097897e-02, 1.9044749870e+00
9.4000000000e-02, -2.0434978742e-02, 1.9009282551e+00
9.5000000000e-02, -2.9099209631e-02, 1.8999927983e+00
9.6000000000e-02, -3.5897529364e-02, 1.9028842102e+00
9.7000000000e-02, -5.0874843037e-02, 1.9036695937e+00
9.8000000000e-02, -4.9269058905e-02, 1.9044299650e+00
9.9000000000e-02, -3.4396796531e-02, 1.9077665943e+00
1.0000000000e-01, -2.2826146389e-02, 1.9087670829e+00
1.0100000000e-01, -3.0339815439e-02, 1.9068361400e+00
1.0200000000e-01, -4.5117031401e-02, 1.9078966578e+00
1.0300000000e-01, -3.9564319919e-02, 1.9078966578e+00
1.0400000000e-01, -2.8548940925e-02, 1.9049302093e+00
1.0500000000e-01, -1.5962794900e-02, 1.9046400676e+00
1.0600000000e-01, -1.7528559489e-02, 1.9038796963e+00
1.0700000000e-01, -2.8128735732e-02, 1.9022739122e+00
1.0800000000e-01, -4.2180597491e-02, 1.9014234969e+00
1.0900000000e-01, -3.6492820054e-02, 1.9003629790e+00
1.1000000000e-01, -2.6512946715e-02, 1.8998577323e+00
1.1100000000e-01, -2.1490494168e-02, 1.9016986312e+00
1.1200000000e-01, -3.2185716824e-02, 1.9043299161e+00
1.1300000000e-01, -4.2810905281e-02, 1.9069211815e+00
1.1400000000e-01, -5.0604711127e-02, 1.9089121537e+00
1.1500000000e-01, -4.2000509551e-02, 1.9082018069e+00
1.1600000000e-01, -2.9899600475e-02, 1.9080267214e+00
1.1700000000e-01, -2.4987201668e-02, 1.9080967556e+00
1.1800000000e-01, -3.2490865833e-02, 1.9037046108e+00
1.1900000000e-01, -4.5587261022e-02, 1.9005380645e+00
1.2000000000e-01, -3.6142649060e-02, 1.9009832819e+00
1.2100000000e-01, -2.6127758621e-02, 1.8994525344e+00
1.2200000000e-01, -1.1160449834e-02, 1.8990873561e+00
1.2300000000e-01, -1.9554548813e-02, 1.9020638096e+00
1.2400000000e-01, -3.3486351946e-02, 1.9040747916e+00
1.2500000000e-01, -4.2915956579e-02, 1.9037896523e+00
1.2600000000e-01, -3.4581886914e-02, 1.9044649821e+00
1.2700000000e-01, -2.0154841946e-02, 1.9052653729e+00
1.2800000000e-01, -2.4496962276e-02, 1.9052953876e+00
1.2900000000e-01, -3.4436816073e-02, 1.9044149577e+00
1.3000000000e-01, -4.7808345615e-02, 1.9040097598e+00
1.3100000000e-01, -5.0059444864e-02, 1.9036946059e+00
1.3200000000e-01, -3.8753924189e-02, 1.9022639073e+00
1.3300000000e-01, -2.4451940291e-02, 1.9006381134e+00
1.3400000000e-01, -2.7238300918e-02, 1.9007431647e+00
1.3500000000e-01, -3.9464271063e-02, 1.8995325735e+00
1.3600000000e-01, -4.3371178872e-02, 1.8987571949e+00
1.3700000000e-01, -3.1140206283e-02, 1.9014735213e+00
1.3800000000e-01, -1.9834685609e-02, 1.9039897500e+00
1.3900000000e-01, -1.2426067857e-02, 1.9037946548e+00
1.4000000000e-01, -2.2866165931e-02, 1.9042698868e+00
1.4100000000e-01, -3.6562854253e-02, 1.9060007320e+00
1.4200000000e-01, -4.0134598396e-02, 1.9042098575e+00
1.4300000000e-01, -3.0980128115e-02, 1.9022438975e+00
1.4400000000e-01, -1.7978779339e-02, 1.9017136386e+00
1.4500000000e-01, -2.8158750389e-02, 1.9000578300e+00
1.4600000000e-01, -3.5802482951e-02, 1.8976066331e+00
1.4700000000e-01, -4.9579210357e-02, 1.8988172242e+00
1.4800000000e-01, -4.7803343172e-02, 1.9005430670e+00
1.4900000000e-01, -3.6402776084e-02, 1.9005080499e+00
1.5000000000e-01, -2.3831637387e-02, 1.9025340392e+00
1.5100000000e-01, -3.0780030404e-02, 1.9049352117e+00
1.5200000000e-01, -4.4371667427e-02, 1.9045800383e+00
1.5300000000e-01, -4.0319688778e-02, 1.9059507076e+00
1.5400000000e-01, -2.8924124133e-02, 1.9068261351e+00
1.5500000000e-01, -1.3671676108e-02, 1.9050002435e+00
1.5600000000e-01, -1.2876287707e-02, 1.9039497305e+00
1.5700000000e-01, -2.3936688685e-02, 1.9014385042e+00
1.5800000000e-01, -3.8163635942e-02, 1.8986971656e+00
1.5900000000e-01, -3.5887524478e-02, 1.8972614645e+00
1.6000000000e-01, -2.5622511901e-02, 1.8961959442e+00
1.6100000000e-01, -1.9134343620e-02, 1.8962659784e+00
1.6200000000e-01, -3.1080176970e-02, 1.8993474831e+00
1.6300000000e-01, -4.3511247270e-02, 1.9013484602e+00
1.6400000000e-01, -5.1064935862e-02, 1.9035595400e+00
1.6500000000e-01, -4.2375692759e-02, 1.9062008297e+00
1.6600000000e-01, -2.8413874970e-02, 1.9070012206e+00
1.6700000000e-01, -2.4241837695e-02, 1.9077665943e+00
1.6800000000e-01, -3.2550895146e-02, 1.9081717922e+00
1.6900000000e-01, -4.5847388046e-02, 1.9042848942e+00
1.7000000000e-01, -3.4081642636e-02, 1.9004830376e+00
1.7100000000e-01, -2.4516972047e-02, 1.8991874050e+00
1.7200000000e-01, -1.1265501133e-02, 1.8975716160e+00
1.7300000000e-01, -1.8143859950e-02, 1.8964760810e+00
1.7400000000e-01, -3.0499893608e-02, 1.8985721045e+00
1.7500000000e-01, -4.1860441153e-02, 1.8986771558e+00
1.7600000000e-01, -3.4867026152e-02, 1.8993124660e+00
1.7700000000e-01, -2.0209868817e-02, 1.9032894080e+00
1.7800000000e-01, -2.4717069758e-02, 1.9050702777e+00
1.7900000000e-01, -3.3261242021e-02, 1.9057656172e+00
1.8000000000e-01, -4.7108003626e-02, 1.9067661058e+00
1.8100000000e-01, -4.9884359367e-02, 1.9045850407e+00
1.8200000000e-01, -3.7098115630e-02, 1.9021188364e+00
1.8300000000e-01, -2.3106283184e-02, 1.9022689097e+00
1.8400000000e-01, -2.5737568085e-02, 1.9007881867e+00
1.8500000000e-01, -3.7443284182e-02, 1.9001128569e+00
1.8600000000e-01, -4.3846410936e-02, 1.9001628813e+00
1.8700000000e-01, -3.2130689953e-02, 1.8986221289e+00
1.8800000000e-01, -2.0590054468e-02, 1.8993124660e+00
1.8900000000e-01, -1.2671187553e-02, 1.9019287436e+00
1.9000000000e-01, -2.2175828828e-02, 1.9019237412e+00
1.9100000000e-01, -3.6567856696e-02, 1.9013884798e+00
1.9200000000e-01, -3.9584329690e-02, 1.9025590514e+00
1.9300000000e-01, -3.0554920479e-02, 1.9028391882e+00
1.9400000000e-01, -1.7143371395e-02, 1.9027141271e+00
1.9500000000e-01, -2.8458896955e-02, 1.9019937754e+00
1.9600000000e-01, -3.6522834711e-02, 1.9006231060e+00
1.9700000000e-01, -5.0914862579e-02, 1.8994675418e+00
1.9800000000e-01, -4.6137529727e-02, 1.8973965305e+00
1.9900000000e-01, -3.3171198051e-02, 1.8962209564e+00
2.0000000000e-01, -2.3251354025e-02, 1.8971113912e+00
2.0100000000e-01, -3.0204749484e-02, 1.8977216892e+00
2.0200000000e-01, -4.3531257041e-02, 1.8996726419e+00
2.0300000000e-01, -4.0309683893e-02, 1.9022288902e+00
2.0400000000e-01, -2.9299307342e-02, 1.9031093201e+00
2.0500000000e-01, -1.4722189091e-02, 1.9026390905e+00
2.0600000000e-01, -1.4281974127e-02, 1.9020688120e+00
2.0700000000e-01, -2.6217802591e-02, 1.9014435067e+00
2.0800000000e-01, -4.0584818245e-02, 1.8996026077e+00
2.0900000000e-01, -3.5877519593e-02, 1.8975165891e+00
2.1000000000e-01, -2.5197304265e-02, 1.8969463106e+00
2.1100000000e-01, -1.9589565913e-02, 1.8950703946e+00
2.1200000000e-01, -3.2540890261e-02, 1.8935896715e+00
2.1300000000e-01, -4.3646313225e-02, 1.8956206633e+00
2.1400000000e-01, -5.2705737093e-02, 1.8976566575e+00
2.1500000000e-01, -4.1650338557e-02, 1.8978667601e+00
2.1600000000e-01, -2.8548940925e-02, 1.8993875027e+00
2.1700000000e-01, -2.3731588532e-02, 1.9018437021e+00
2.1800000000e-01, -3.2550895146e-02, 1.9022438975e+00
2.1900000000e-01, -4.5632283007e-02, 1.9035645424e+00
2.2000000000e-01, -3.3891549811e-02, 1.9048201555e+00
2.2100000000e-01, -2.7023195878e-02, 1.9018587094e+00
2.2200000000e-01, -1.1315525560e-02, 1.8975466037e+00
2.2300000000e-01, -1.8298935676e-02, 1.8951354263e+00
2.2400000000e-01, -3.1510387049e-02, 1.8924391097e+00
2.2500000000e-01, -4.1610319015e-02, 1.8921689778e+00
2.2600000000e-01, -3.2750992857e-02, 1.8940949182e+00
2.2700000000e-01, -2.0650083781e-02, 1.8953405265e+00
2.2800000000e-01, -2.3851647158e-02, 1.8983019726e+00
2.2900000000e-01, -3.3666439886e-02, 1.9010433112e+00
2.3000000000e-01, -4.6797852174e-02, 1.9013734725e+00
2.3100000000e-01, -4.9609225014e-02, 1.9027641516e+00
2.3200000000e-01, -3.7438281739e-02, 1.9025140294e+00
2.3300000000e-01, -2.4787103957e-02, 1.8991073659e+00
2.3400000000e-01, -2.6597988242e-02, 1.8987922120e+00
2.3500000000e-01, -3.7683401435e-02, 1.8986621485e+00
2.3600000000e-01, -4.4196581930e-02, 1.8958007512e+00
2.3700000000e-01, -3.2300773008e-02, 1.8954305704e+00
2.3800000000e-01, -2.1095301188e-02, 1.8960558758e+00
2.3900000000e-01, -1.2075896862e-02, 1.8941299353e+00
2.4000000000e-01, -2.3571510363e-02, 1.8952854996e+00
2.4100000000e-01, -3.5707436538e-02, 1.8971514108e+00
2.4200000000e-01, -3.9144114726e-02, 1.8971263985e+00
2.4300000000e-01, -3.1290279567e-02, 1.9003829888e+00
2.4400000000e-01, -1.7528559489e-02, 1.9023839659e+00
2.4500000000e-01, -2.8668999552e-02, 1.9023039268e+00
2.4600000000e-01, -3.7713416092e-02, 1.9022739122e+00
2.4700000000e-01, -5.0454637843e-02, 1.8983319873e+00
2.4800000000e-01, -4.6767837517e-02, 1.8943500428e+00
2.4900000000e-01, -3.4461828287e-02, 1.8940949182e+00
2.5000000000e-01, -2.2921192802e-02, 1.8921739802e+00
2.5100000000e-01, -2.9429370854e-02, 1.8919688800e+00
2.5200000000e-01, -4.3241115360e-02, 1.8967962373e+00
2.5300000000e-01, -3.9649361446e-02, 1.8987571949e+00
2.5400000000e-01, -2.9394353754e-02, 1.9005780841e+00
2.5500000000e-01, -1.5727680089e-02, 1.9047401164e+00
2.5600000000e-01, -1.5062355200e-02, 1.9037946548e+00
2.5700000000e-01, -2.6753063968e-02, 1.9010433112e+00
2.5800000000e-01, -4.2830915052e-02, 1.8994775466e+00
2.5900000000e-01, -3.9189136711e-02, 1.8972014352e+00
2.6000000000e-01, -2.7303332674e-02, 1.8950753970e+00
2.6100000000e-01, -2.0890201034e-02, 1.8940899158e+00
2.6200000000e-01, -3.3336278662e-02, 1.8946201747e+00
2.6300000000e-01, -4.5021984988e-02, 1.8944500917e+00
2.6400000000e-01, -5.3030895873e-02, 1.8941199304e+00
2.6500000000e-01, -4.4121545288e-02, 1.8961109027e+00
2.6600000000e-01, -3.0374832539e-02, 1.8982419433e+00
2.6700000000e-01, -2.5972682895e-02, 1.8980968724e+00
2.6800000000e-01, -3.3821515612e-02, 1.8991423830e+00
2.6900000000e-01, -4.6017471101e-02, 1.9019737656e+00
2.7000000000e-01, -3.5337255773e-02, 1.9018487045e+00
2.7100000000e-01, -2.6272829462e-02, 1.9012884309e+00
2.7200000000e-01, -1.2841270607e-02, 1.8997977030e+00
2.7300000000e-01, -1.9674607440e-02, 1.8958757878e+00
2.7400000000e-01, -3.2115682625e-02, 1.8925991878e+00
2.7500000000e-01, -4.3671325438e-02, 1.8905932083e+00
2.7600000000e-01, -3.7348237769e-02, 1.8891575072e+00
2.7700000000e-01, -2.2145814171e-02, 1.8915536773e+00
2.7800000000e-01, -2.6157773278e-02, 1.8941099255e+00
2.7900000000e-01, -3.6362756542e-02, 1.8980218358e+00
2.8000000000e-01, -4.9814325168e-02, 1.9016736190e+00
