% Moku:Go Data Logger
% Input 1, DC coupling, 10 Vpp range
% Input 2, DC coupling, 10 Vpp range
% Acquisition rate: 1.0000000000e+04 Hz, Precision mode
% Output 1 - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 1970-01-29 T 08:02:25 +1000
% Time (s), Input 1 (V), Input 2 (V)
0.0000000000e+00, -1.7678163793e-02, 2.4845644262e+00
1.0000000000e-04, -2.0167660706e-02, 2.4842173818e+00
2.0000000000e-04, -2.2551246526e-02, 2.4835625698e+00
3.0000000000e-04, -2.4177431244e-02, 2.4832532391e+00
4.0000000000e-04, -2.3940792252e-02, 2.4830289108e+00
5.0000000000e-04, -2.5773913958e-02, 2.4828149391e+00
6.0000000000e-04, -2.6587201725e-02, 2.4829927603e+00
7.0000000000e-04, -2.8525062077e-02, 2.4829937374e+00
8.0000000000e-04, -2.9964827639e-02, 2.4834097608e+00
9.0000000000e-04, -3.0534050913e-02, 2.4841339426e+00
1.0000000000e-03, -3.1668784710e-02, 2.4840632049e+00
1.1000000000e-03, -3.3174402741e-02, 2.4835488913e+00
1.2000000000e-03, -3.5000294354e-02, 2.4833808405e+00
1.3000000000e-03, -3.7562287606e-02, 2.4828401467e+00
1.4000000000e-03, -4.1018467504e-02, 2.4825732195e+00
1.5000000000e-03, -4.2884222333e-02, 2.4819793748e+00
1.6000000000e-03, -4.3423743603e-02, 2.4814937862e+00
1.7000000000e-03, -4.2707964388e-02, 2.4817046313e+00
1.8000000000e-03, -4.3799122219e-02, 2.4817087349e+00
1.9000000000e-03, -4.3421984931e-02, 2.4819332586e+00
2.0000000000e-03, -4.2608110941e-02, 2.4820055595e+00
2.1000000000e-03, -4.2555937026e-02, 2.4823264193e+00
2.2000000000e-03, -4.2622766535e-02, 2.4827414657e+00
2.3000000000e-03, -4.2809185691e-02, 2.4825441037e+00
2.4000000000e-03, -4.2529752364e-02, 2.4816913436e+00
2.5000000000e-03, -4.2057060603e-02, 2.4814089791e+00
2.6000000000e-03, -4.0869762076e-02, 2.4808888032e+00
2.7000000000e-03, -3.8023645707e-02, 2.4808866538e+00
2.8000000000e-03, -3.7144896286e-02, 2.4804368247e+00
2.9000000000e-03, -3.8987006757e-02, 2.4802351637e+00
3.0000000000e-03, -4.0547729822e-02, 2.4802799122e+00
3.1000000000e-03, -4.0917832424e-02, 2.4808125941e+00
3.2000000000e-03, -3.9098584680e-02, 2.4805714608e+00
3.3000000000e-03, -3.7444065813e-02, 2.4811451784e+00
3.4000000000e-03, -3.6136786822e-02, 2.4816231462e+00
