% Moku:Go Data Logger
% Input 1, DC coupling, 10 Vpp range
% Input 2, DC coupling, 10 Vpp range
% Acquisition rate: 1.0000000000e+04 Hz, Precision mode
% Output 1 - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 1970-01-29 T 07:58:30 +1000
% Time (s), Input 1 (V), Input 2 (V)
0.0000000000e+00, -4.4737666463e-02, 4.8767661721e-01
1.0000000000e-04, -4.4903372380e-02, 4.8705912818e-01
2.0000000000e-04, -4.4885394851e-02, 4.8823040326e-01
3.0000000000e-04, -4.5067515034e-02, 4.8775028600e-01
4.0000000000e-04, -4.5494285933e-02, 4.8803284585e-01
5.0000000000e-04, -4.5929654781e-02, 4.8760236220e-01
6.0000000000e-04, -4.6023059767e-02, 4.8727407689e-01
7.0000000000e-04, -4.6175477946e-02, 4.8729967533e-01
8.0000000000e-04, -4.4425013790e-02, 4.8678712035e-01
9.0000000000e-04, -4.2150270182e-02, 4.8772566460e-01
1.0000000000e-03, -3.9885101562e-02, 4.8791911844e-01
1.1000000000e-03, -4.0053738598e-02, 4.8856396458e-01
1.2000000000e-03, -4.0435370267e-02, 4.8832087712e-01
1.3000000000e-03, -4.0297607683e-02, 4.8731042277e-01
1.4000000000e-03, -3.9684808443e-02, 4.8726059375e-01
1.5000000000e-03, -3.8384368729e-02, 4.8696415993e-01
1.6000000000e-03, -3.7498193808e-02, 4.8738409155e-01
1.7000000000e-03, -3.6091452185e-02, 4.8737393034e-01
1.8000000000e-03, -3.4432829752e-02, 4.8732273346e-01
1.9000000000e-03, -3.3414559075e-02, 4.8795976329e-01
2.0000000000e-03, -3.1655301563e-02, 4.8889049121e-01
2.1000000000e-03, -3.0379287839e-02, 4.8690397429e-01
2.2000000000e-03, -2.8646019580e-02, 4.8759005150e-01
2.3000000000e-03, -2.6510015596e-02, 4.8773895234e-01
2.4000000000e-03, -2.3884123955e-02, 4.8906831242e-01
2.5000000000e-03, -2.3412800049e-02, 4.8821965582e-01
2.6000000000e-03, -2.2923303207e-02, 4.8758008570e-01
